ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32990968,1.224346231,Mexican Segunda Division,2024-02-04,00:00:00,Los Cabos United,Calor de San Pedro,1.04,1.01,1.04,1.04,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32975300,1.224111091,Mexican Liga MX,2024-02-04,00:10:00,CF America,Monterrey,1.81,3.4,4.0,1.82,1.81,1.74,1.92,16.0,18.5,980.0,980.0,980.0,9.8,21.0,980.0,980.0,980.0,23.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
32975661,1.224117882,Australian A-League Women,2024-02-04,03:00:00,Newcastle Jets (W),Wellington Phoenix (W),2.12,3.2,2.52,1.5,2.28,1.47,2.38,980.0,980.0,980.0,1.01,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,1.01,980.0,980.0,1.01,980.0,980.0
32975779,1.224169265,Australian A-League Women,2024-02-04,03:00:00,Canberra United (W),Melbourne City (W),1.19,1.22,1.54,1.29,3.15,1.39,2.62,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,1.01,1.01,1.01,980.0,980.0
32990790,1.224344534,Indonesian Liga 1,2024-02-04,05:00:00,Persib Bandung,Persis Solo,1.05,1.47,1.47,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32990791,1.224344444,Indonesian Liga 1,2024-02-04,05:00:00,Persebaya Surabaya,Bhayangkara FC,1.05,1.01,1.05,1.23,1.27,1.64,2.12,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32990792,1.224344354,Indonesian Liga 1,2024-02-04,05:00:00,PSM Makassar,Persita Tangerang,1.09,1.14,1.14,1.03,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32961364,1.223910405,Australian A-League Men,2024-02-04,05:00:00,Macarthur FC,Western Sydney Wanderers,2.98,4.1,2.34,1.52,2.8,1.47,2.86,27.0,18.0,20.0,34.0,20.0,10.0,11.5,20.0,26.0,13.5,14.0,26.0,48.0,26.0,30.0,55.0,15.5,11.0
32976821,1.224144245,Spanish Segunda RFEF - Group 4,2024-02-04,07:30:00,FC La Union Atletico,Sevilla B,4.2,3.0,1.96,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32978302,1.224168166,Spanish Segunda RFEF - Group 4,2024-02-04,07:30:00,Betis B,San Roque Lepe,1.5,2.98,6.4,1.42,1.51,1.01,1.51,980.0,1.01,1.01,1.01,980.0,980.0,1.01,1.01,980.0,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32975962,1.224127217,Turkish Super League,2024-02-04,07:30:00,Pendikspor,Adana Demirspor,2.2,3.65,3.25,1.71,2.02,1.64,2.32,21.0,18.5,29.0,65.0,14.5,9.4,16.5,40.0,18.5,13.0,19.5,48.0,34.0,26.0,38.0,90.0,16.5,32.0
32977026,1.224146861,Turkish 1 Lig,2024-02-04,07:30:00,Erzurum BB,Sanliurfaspor,1.75,3.15,4.1,2.0,1.71,1.84,1.77,14.0,17.5,1.01,1.01,9.2,9.4,23.0,1.01,13.0,12.0,26.0,1.01,25.0,26.0,1.01,1.01,18.5,1.01
32975967,1.224126483,Turkish 1 Lig,2024-02-04,07:30:00,Tuzlaspor,Manisa FK,3.6,3.15,2.02,1.98,1.83,1.81,2.0,980.0,980.0,980.0,1.01,1.01,980.0,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32987438,1.224309377,Thai Division 1,2024-02-04,07:30:00,Suphanburi,Nongbua Pitchaya FC,1.05,1.05,1.08,1.04,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
